Gaia DR2 2739231150982741760,18.425,0.0128,18.2391,0.0059,18.3069,0.0027,18.4562,0.0081,18.4949,0.0098,True,gSDSS,
Gaia DR2 2746037712074342784,18.0252,0.0058,17.9755,0.0093,18.0572,0.0033,18.1466,0.0176,18.2192,0.0133,True,gSDSS,
Gaia DR2 2773073470346643200,17.0428,0.0088,16.9952,0.0019,17.0335,0.0072,17.1435,0.005,17.2004,0.0158,True,gSDSS,
Gaia DR2 2444446482939165824,18.7331,0.0067,18.5977,0.0073,18.5564,0.007,18.622,0.0127,18.6515,0.0175,True,gSDSS,
Gaia DR2 2861452348130844160,16.6914,0.0062,17.0104,0.0059,17.3204,0.006,17.5766,0.008,17.7538,0.0134,True,gSDSS,
Gaia DR2 2860951829821782016,16.8799,0.0035,16.9527,0.0039,17.0977,0.0065,17.2432,0.0033,17.3671,0.0106,True,gSDSS,
Gaia DR2 2875903332533220992,17.6047,0.0033,17.2258,0.0043,17.1177,0.0026,17.0499,0.0022,17.0806,0.0084,True,gSDSS,
Gaia DR2 2416481779075909376,20.5756,0.0299,19.8992,0.0133,19.5493,0.0085,19.4547,0.0143,19.3224,0.0541,True,approx_rSDSS,
Gaia DR2 2416481783371550976,16.0713,0.0021,16.2573,0.0055,16.4724,0.002,16.6579,0.0033,16.713,0.0091,True,approx_rSDSS,
Gaia DR2 2798132572998105984,16.1323,0.0036,16.3317,0.0016,16.5179,0.002,16.6559,0.0059,16.5817,0.0131,True,gSDSS,
Gaia DR2 2766001510339988864,20.0626,0.0121,19.2481,0.0066,18.9604,0.008,18.8419,0.0097,18.8276,0.0279,True,gSDSS,
Gaia DR2 383108338321272448,17.2546,0.0051,16.5333,0.0027,16.2282,0.0017,16.1239,0.0032,16.0621,0.0037,True,approx_rSDSS,
Gaia DR2 2337197473065354880,20.7352,0.0273,20.003,0.0141,19.7279,0.0172,19.6368,0.0253,19.5256,0.0368,True,approx_rSDSS,
Gaia DR2 537393832858638464,18.0829,0.0111,17.8914,0.0046,17.8434,0.0059,17.9073,0.0097,17.968,0.0167,True,approx_rSDSS,
