designation,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,su,sg,sr,si,sz
Gaia DR2 4237555506083389568,4237555506083389568,301.1895541,1.157992769,30.82810331,0.080290205,-0.441955658,-28.02408504,16.733528,16.890549,16.310257,0.58029175,24.635,16.847,24.802,16.227,22.827
Gaia DR2 277090540953615616,277090540953615616,68.32301902,55.45369247,13.45442614,0.084527117,-0.463597279,-103.1029319,16.936312,17.004747,16.73891,0.26583672,17.334,17.12,17.049,16.99,17.288
Gaia DR2 1714938767226518528,1714938767226518528,212.9880738,78.42869361,12.90419199,0.110114776,-0.463727742,-18.55066914,17.843742,17.98054,17.522535,0.458004,0,0,0,0,0
Gaia DR2 1707029872713236352,1707029872713236352,236.8740593,76.52973564,10.92387714,0.279324075,-0.49411552,-20.69523931,19.427786,19.84757,18.82154,1.0260296,0,0,0,0,0
Gaia DR2 2393834386459511680,2393834386459511680,355.1832651,-18.32983247,10.3844427,0.216851621,-0.545047624,-114.4156672,17.625587,17.50559,17.750809,-0.24521828,0,0,0,0,0
Gaia DR2 324340811909560448,324340811909560448,33.63431175,30.63952091,11.40905262,0.958079914,-0.570691427,-63.021494,19.948061,20.472776,19.181103,1.2916737,23.828,20.725,19.87,19.514,19.212
Gaia DR2 1143693887630730240,1143693887630730240,95.12879938,82.79028642,12.09335339,0.107671294,-0.579907377,-28.21885262,17.903488,18.066475,17.621653,0.4448223,18.55,18.046,17.917,17.914,17.947
Gaia DR2 1113063830143379968,1113063830143379968,102.0388402,71.87597857,12.31141293,0.256803667,-0.590126047,-160.5587354,19.10891,19.35223,18.606579,0.74565125,0,0,0,0,0
Gaia DR2 1413145468469632000,1413145468469632000,251.3155074,50.52922853,11.31376224,0.254429984,-0.591152588,-26.22448513,19.340246,19.725597,18.70728,1.0183182,21.369,19.903,19.294,19.034,18.945
Gaia DR2 1153544794556784384,1153544794556784384,226.6256304,1.866190695,11.20446221,0.272884044,-0.660478933,74.39434573,18.904234,19.146683,18.409,0.73768234,20,19.206,18.858,18.767,18.71
