designation,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,su,sg,sr,si,sz
Gaia DR2 470826482635701376,470826482635701376,67.81353238,58.96975169,181.2815295,0.045009379,1335.041575,-1947.631857,12.352744,12.494153,12.060236,0.43391705,0,0,0,0,0
Gaia DR2 2552928187080872832,2552928187080872832,12.29656845,5.376933285,231.7374995,0.03795979,1231.325249,-2711.830089,12.312182,12.553107,11.942708,0.61039925,14.974,12.856,12.377,14.166,13.581
Gaia DR2 5717278911884258176,5717278911884258176,115.0917576,-17.41599077,109.2155688,0.029714408,1138.639661,-542.6730065,12.991718,13.092446,12.756255,0.33619118,0,0,0,0,0
Gaia DR2 2205493129867600256,2205493129867600256,336.4568139,63.96339124,26.29220207,0.082792724,1089.867007,1344.237806,17.492647,17.96378,16.873007,1.0907726,0,0,0,0,0
Gaia DR2 4190813690536580608,4190813690536580608,301.3999688,-10.94880493,57.7622853,0.080099647,1063.418738,-81.57890512,16.682999,17.267138,15.977133,1.2900047,19.41317,17.49904,16.61222,16.28391,16.13338
Gaia DR2 333010327952701696,333010327952701696,32.8426172,39.92048902,58.23021093,0.035059774,1028.733044,-500.3686492,14.421328,14.578869,14.103832,0.47503662,0,0,0,0,0
Gaia DR2 3427482725113315200,3427482725113315200,87.40252936,23.49413381,19.25155675,0.172729106,1026.739962,-917.6636278,18.100727,18.712778,17.372381,1.3403969,0,0,0,0,0
Gaia DR2 3429296884940000000,3429296884940000256,86.24505446,26.04405579,27.68091255,0.102048601,999.6317218,-1389.592371,16.896782,17.413532,16.192427,1.2211056,0,0,0,0,0
Gaia DR2 2490975272405858048,2490975272405858048,31.3025313,-5.296725484,30.90130684,0.209756726,960.2243142,392.9840315,18.13858,18.882215,17.353256,1.5289593,21.31,19.213,18.115,17.608,17.319
Gaia DR2 431635455820288128,431635455820288128,0.603372411,63.96272806,38.07976654,0.079118951,918.8525102,108.2691666,17.02377,17.523834,16.365953,1.1578808,0,0,0,0,0
Gaia DR2 1064978578888570496,1064978578888570496,145.3738332,65.19220722,21.92175926,0.213791679,869.347514,-793.4327041,18.461607,19.070005,17.71326,1.3567448,21.542,19.349,18.396,18.052,17.856
Gaia DR2 5726927573083821440,5726927573083821440,125.5805711,-12.82333366,16.19923347,0.402030531,865.0070738,-881.3988714,19.503572,20.04066,18.733868,1.3067932,0,0,0,0,0
Gaia DR2 351429930856438656,351429930856438656,34.24677915,42.96560953,48.88860566,0.094232527,852.8062793,-583.5176334,16.056423,16.447453,15.489573,0.95788,0,0,0,0,0
Gaia DR2 92597914738232448,92597914738232448,31.56470196,18.60710349,27.35266683,0.179885946,785.6606328,97.49185144,18.171776,18.806915,17.384544,1.4223709,21.29,19.274,18.174,17.753,17.52
Gaia DR2 420531621029108608,420531621029108608,3.357664036,54.63526287,31.08410372,0.15723537,776.7595696,600.1367934,18.021423,18.669687,17.188131,1.4815559,0,0,0,0,0
Gaia DR2 6913810483611035776,6913810483611035776,314.2024568,-4.845276618,61.75182792,0.067833169,776.3548923,-222.9393825,16.362885,16.96871,15.618667,1.3500433,0,0,0,0,0
Gaia DR2 3103811515783541504,3103811515783541504,100.3029423,-4.534575554,48.94473784,0.115636185,753.4256587,505.489392,17.040422,17.726274,16.227085,1.4991894,0,0,0,0,0
Gaia DR2 5060587895604134400,5060587895604134400,52.20682306,-27.31507451,43.43492349,0.038406816,721.3904477,375.8956249,13.604134,13.679235,13.411649,0.2675867,14.42,0,0,0,0
Gaia DR2 372111985092019840,372111985092019840,21.09378789,40.39891872,36.97235937,0.078138413,691.9341551,-128.1346188,16.920826,17.336548,16.331255,1.0052929,18.934,17.488,16.863,16.635,16.548
Gaia DR2 492442090962517376,492442090962517376,47.74742407,66.5655232,26.11380214,0.125101225,684.8386505,-435.5865868,17.908318,18.473728,17.200857,1.272871,0,0,0,0,0
Gaia DR2 2528728726428345216,2528728726428345216,8.043836832,-2.899804699,42.4390845,0.10968829,640.2039929,151.7851585,17.021215,17.609823,16.291002,1.318821,19.912,17.885,16.972,16.626,16.428
Gaia DR2 2448933731627261824,2448933731627261824,358.1357517,-2.88536953,33.07211308,0.135662135,637.8320597,285.1473573,16.999525,16.99566,16.901896,0.09376526,17.185,16.981,17.071,17.191,17.351
Gaia DR2 2533575369771883648,2533575369771883648,18.77192255,-1.554432549,29.39426828,0.112909041,635.2445704,23.62037627,17.396408,17.80325,16.808498,0.994751,19.322,17.954,17.359,17.131,17.031
Gaia DR2 3283853143218651264,3283853143218651264,66.58897284,4.539384162,46.9843489,0.101377163,632.9007722,-570.3266092,16.886637,17.399704,16.210756,1.1889477,0,0,0,0,0
Gaia DR2 2364319061964016512,2364319061964016512,8.825743144,-17.31434335,29.94430775,0.043073698,615.5217081,-4.049154411,14.938567,14.983694,14.814844,0.16884995,0,0,0,0,0
Gaia DR2 5652718097353105664,5652718097353105664,133.4932887,-24.78161618,38.86021441,0.157738854,613.7222387,155.6506542,17.950277,18.396877,17.36541,1.0314674,0,0,0,0,0
Gaia DR2 2638553754605793408,2638553754605793408,348.8309134,-2.160512253,33.63117063,0.062528725,591.8784847,177.8987212,16.237131,16.452934,15.879279,0.5736551,17.21,16.418,16.226,16.191,16.227
Gaia DR2 2410908771246898176,2410908771246898176,343.4013612,-14.64131015,27.34799791,0.143524239,583.5856541,-34.05396809,17.526865,17.928572,16.948557,0.9800148,0,0,0,0,0
Gaia DR2 2480523216087975040,2480523216087975040,24.49998442,-4.997249396,79.20894338,0.039218578,580.9461844,-350.1788132,12.758389,12.924606,12.4415655,0.4830408,14.983,13.098,12.855,12.843,13.886
Gaia DR2 515289392829738624,515289392829738624,36.63909211,64.99001579,32.36966532,0.123713992,580.1781593,-378.2593705,17.919218,18.622337,17.136131,1.486206,0,0,0,0,0
Gaia DR2 5709868512742196608,5709868512742196608,127.9634541,-16.72714858,27.88822769,0.259634955,565.4437825,-500.878632,18.353882,19.039532,17.52263,1.516901,0,0,0,0,0
Gaia DR2 2356519298275043200,2356519298275043200,12.79788249,-20.46747857,37.24857018,0.096176032,563.2925728,-431.2751021,17.003668,17.518505,16.35594,1.1625652,0,0,0,0,0
Gaia DR2 1788893259339772032,1788893259339772032,318.6279118,19.80840669,21.20209146,0.398132151,560.9520309,-41.59972636,19.144678,19.932447,18.227528,1.7049198,0,0,0,0,0
Gaia DR2 5128633195616949120,5128633195616949120,41.38522546,-19.85939074,31.12571801,0.144590953,560.9288554,39.38497002,17.883,18.541555,17.107801,1.433754,0,0,0,0,0
Gaia DR2 2610488514148351360,2610488514148351360,343.9585223,-7.834198946,27.78398461,0.105166131,549.2535593,-46.94091337,16.367645,16.5732,15.978286,0.59491444,17.235,16.66,16.405,16.362,16.376
Gaia DR2 3324181683539044224,3324181683539044224,95.20130534,6.754697972,41.47343025,0.103471591,537.4353908,-13.63251166,16.256699,16.569717,15.764002,0.80571556,17.576,16.626,16.221,16.08,16.056
Gaia DR2 3022956969731332096,3022956969731332096,88.79202102,-4.1786053,155.2500907,0.028688312,535.3192547,-2316.960513,14.250224,14.760708,13.604291,1.1564169,0,0,0,0,0
Gaia DR2 874900643675606912,874900643675606912,116.2898395,26.44869401,25.2830333,0.363062515,529.6925939,-719.1860652,18.748299,19.509428,17.90742,1.6020088,22.06,19.98,18.74,18.18,17.98
Gaia DR2 302388929117252736,302388929117252736,26.43833237,29.3066578,24.47852893,0.188310202,523.6953193,13.17380026,17.970106,18.40881,17.389896,1.0189133,19.938,18.556,17.901,17.628,17.516
Gaia DR2 2836609093355562496,2836609093355562496,342.2755659,22.60914295,56.11676084,0.069532598,522.7392767,59.63249888,14.38987,14.411647,14.30927,0.10237694,14.73166,14.32355,14.47204,14.58626,14.82953
Gaia DR2 66837563803594880,66837563803594880,56.69628978,24.92909033,25.20891858,0.300153705,520.9436224,-1157.487388,18.597273,19.24016,17.727537,1.5126228,0,0,0,0,0
Gaia DR2 2709539840202060800,2709539840202060800,339.2803287,6.603111396,12.13101037,0.896151842,520.788533,-298.514896,20.504227,21.13835,19.557152,1.5811977,22.627,21.688,20.415,19.91,19.738
Gaia DR2 343356212681211392,343356212681211392,29.25898097,39.54990681,15.35059976,0.528121443,507.1270106,-82.71107018,19.724957,20.389292,18.93867,1.4506226,0,0,0,0,0
Gaia DR2 5068532996689788544,5068532996689788544,36.13690816,-28.91664903,34.66290082,0.175647077,502.1853612,-30.87055378,18.246077,18.320347,18.256,0.06434631,0,0,0,0,0
Gaia DR2 5039601100551392896,5039601100551392896,19.46760112,-26.81416167,17.51360829,0.222259973,486.2558567,40.90830433,18.796242,19.354265,18.100763,1.2535019,0,0,0,0,0
Gaia DR2 260218878625842816,260218878625842816,70.99731591,51.10763886,23.1936815,0.073543308,482.2702466,11.28257888,15.904928,15.991959,15.692766,0.29919243,0,0,0,0,0
Gaia DR2 8578256576520320,8578256576520320,44.99852984,8.198683337,33.90922238,0.060753884,479.7926517,-75.58456166,15.791924,16.01137,15.390733,0.62063694,0,0,0,0,0
Gaia DR2 2807462655009880320,2807462655009880320,8.357624655,25.10450698,25.96171052,0.088901673,478.8158309,144.0549165,16.82152,17.087645,16.378342,0.7093029,17.88,17.12,16.79,16.69,16.68
Gaia DR2 282639432539759872,282639432539759872,82.66811368,59.47237484,17.46615433,0.218936915,475.6616415,-197.2914496,18.739544,19.282293,18.050375,1.2319183,0,0,0,0,0
Gaia DR2 2583365245917474816,2583365245917474816,16.57104367,11.6968044,17.08540132,0.381753861,475.2758663,-389.0135412,19.616308,20.223236,18.782286,1.4409504,24.579,20.716,19.602,19.121,18.802
Gaia DR2 48829075167625472,48829075167625472,62.57443413,19.90589741,34.21494555,0.159970869,474.6453765,-327.5830173,17.4926,17.955835,16.849756,1.1060791,19.647,18.105,17.433,17.186,17.101
Gaia DR2 2641576685735609472,2641576685735609472,357.4486726,-1.415059994,15.39224629,0.425008856,470.5665472,-324.3434078,19.073908,19.546572,18.31516,1.231411,21.963,19.921,19.017,18.671,18.522
Gaia DR2 1993289138054372480,1993289138054372480,354.7552676,53.26689736,23.00928346,0.080913048,465.1243467,36.44021702,17.019693,17.26443,16.586699,0.67773056,0,0,0,0,0
Gaia DR2 1936315366080098432,1936315366080098432,345.7679904,46.54436171,25.32373174,0.15804819,461.3426258,-146.880462,18.340405,18.901653,17.631695,1.2699585,0,0,0,0,0
Gaia DR2 2457759374023232768,2457759374023232768,24.05875532,-11.34289911,30.52486031,0.054582128,460.8449888,-116.4482517,14.231358,14.224232,14.2361765,-0.011944771,0,0,0,0,0
Gaia DR2 255924254922549504,255924254922549504,71.96921104,48.2748912,17.74673965,0.396422524,459.3842234,-272.457455,19.5265,20.09378,18.791132,1.3026485,0,0,0,0,0
Gaia DR2 1907041590544054656,1907041590544054656,334.4508903,37.13120206,49.13258286,0.079323802,458.8192295,90.79197286,16.817915,17.42087,16.075235,1.3456345,0,0,0,0,0
Gaia DR2 426122397136335872,426122397136335872,13.99678775,59.80045951,43.78076263,0.06963367,452.2436621,-56.60274163,16.822891,17.393938,16.127844,1.2660942,0,0,0,0,0
Gaia DR2 599922307511771776,599922307511771776,127.0346864,9.704272037,19.28025935,0.223339983,443.37755,-135.1901783,18.247952,18.783731,17.511501,1.2722301,21.084,19.161,18.194,17.83,17.642
Gaia DR2 2845218578639288576,2845218578639288576,347.6827646,26.87230724,23.36496683,0.115854229,443.05009,82.17834085,17.314629,17.49068,16.970003,0.52067757,18.067,17.486,17.339,17.289,17.296
Gaia DR2 96095735719745280,96095735719745280,23.24012585,19.69597749,11.8284444,0.562378172,440.718926,69.65286798,19.51631,20.010515,18.861584,1.1489315,22.233,20.263,19.428,19.102,19.018
Gaia DR2 2025389380082340992,2025389380082340992,294.3094307,27.72196289,54.77419864,0.028844711,439.5968884,21.2696911,13.082175,13.066406,13.08858,-0.022173882,0,0,0,0,0
Gaia DR2 69990202940592896,69990202940592896,57.33021628,25.91319222,18.4177241,0.513161525,435.3401353,-112.9906086,19.335308,20.073565,18.466846,1.6067181,0,0,0,0,0
Gaia DR2 5181816233750415488,5181816233750415488,47.91355678,-5.854576354,31.4346013,0.205842482,433.3594163,69.22665616,18.117489,18.827372,17.281288,1.5460835,0,0,0,0,0
Gaia DR2 2395984030477271680,2395984030477271680,343.508863,-23.71880736,24.39632677,0.307498281,427.3693408,48.91438782,18.686426,19.391802,17.850807,1.5409946,0,0,0,0,0
Gaia DR2 2486955560973911424,2486955560973911424,34.33404811,-6.941247801,22.55293878,0.161815878,422.5489556,17.85807739,17.800415,18.258091,17.217663,1.0404282,19.677,18.323,17.746,17.528,17.44
Gaia DR2 2545505281002947200,2545505281002947200,3.414942457,0.322704012,24.96027141,0.059535697,421.383833,-183.8093305,15.352593,15.398545,15.206095,0.19245052,18.04222,18.652,15.11135,17.66124,15.85771
Gaia DR2 104648944047154432,104648944047154432,32.19873958,25.23558483,25.60508243,0.048923018,418.9379287,-120.2055924,13.249136,13.147531,13.378169,-0.2306385,13.331,14.274,13.689,13.889,14.009
Gaia DR2 1575357587146077056,1575357587146077056,182.8752794,57.40320079,50.10327037,0.033842237,413.7747258,-369.0721486,15.635002,15.946429,15.141097,0.8053322,16.953,16.006,15.61,15.468,15.438
Gaia DR2 44901791432527232,44901791432527232,56.14706942,18.43119699,53.00194932,0.049259371,412.6773573,-1129.835337,15.071921,15.2397,14.728783,0.51091766,0,0,0,0,0
Gaia DR2 529594417061837824,529594417061837824,6.214708403,68.57977986,27.66659961,0.082876961,411.6256755,23.07236366,17.47863,17.778,16.876226,0.90177345,0,0,0,0,0
Gaia DR2 2064284054100290048,2064284054100290048,307.7612441,39.58226708,28.54414352,0.101690598,410.7962451,136.1611801,17.891918,18.440784,17.153288,1.2874966,0,0,0,0,0
Gaia DR2 152091973137497216,152091973137497216,65.59479524,26.69984117,15.53838656,0.306916522,408.5694074,-78.87438651,18.635494,18.994762,18.026667,0.9680958,20.385,19.113,18.589,18.376,18.327
Gaia DR2 6889320030334437376,6889320030334437376,316.2184188,-11.55101227,20.41778871,0.318959246,407.3894952,6.81891864,18.62533,19.097599,17.794401,1.3031979,21.376,19.487,18.559,18.24,17.976
Gaia DR2 1996725077535283200,1996725077535283200,347.4969614,55.11393703,60.90712379,0.043084992,407.3331377,47.9750871,15.61537,15.976105,15.0745735,0.9015312,0,0,0,0,0
Gaia DR2 317317170285551104,317317170285551104,21.25854817,34.26750529,15.03798777,0.303911661,406.1018972,-53.2831032,18.426437,18.808863,17.890583,0.91827965,19.981,18.888,18.399,18.192,18.15
Gaia DR2 2562026950744670848,2562026950744670848,25.56777219,5.285148782,18.37936385,0.268060056,406.0867278,-77.87662015,18.872295,19.392792,18.162449,1.2303429,21.386,19.669,18.834,18.51,18.331
Gaia DR2 339492052075797376,339492052075797376,36.47144849,42.46675164,19.93811609,0.428175864,399.9094596,-207.1145664,19.001854,19.590937,18.222967,1.3679695,0,0,0,0,0
Gaia DR2 3249657094642979840,3249657094642979840,55.55545915,-3.74480706,13.53699031,0.600439245,398.3578479,-245.5153956,19.839022,20.258467,19.144798,1.1136684,0,0,0,0,0
Gaia DR2 339492017717622016,339492017717622016,36.46881285,42.46675418,19.8201549,0.157043219,397.4046392,-206.7686543,17.326044,17.575775,16.88847,0.68730545,0,0,0,0,0
Gaia DR2 250278709394343936,250278709394343936,58.22159114,49.6980401,17.71716414,0.107474244,395.0470145,-284.0116794,17.234907,17.390713,16.934816,0.45589638,17.88,17.407,17.26,17.217,17.27
Gaia DR2 5042228731477861888,5042228731477861888,22.46148074,-22.95413593,11.81397303,0.73251483,394.2704208,-200.0465275,20.184252,20.754255,19.341297,1.4129581,0,0,0,0,0
Gaia DR2 4891567154251463680,4891567154251463680,68.39189447,-27.89026608,43.00832292,0.062005268,392.0010363,-6.148229137,16.602432,17.062525,15.989483,1.0730419,0,0,0,0,0
Gaia DR2 127366331745660288,127366331745660288,37.9226166,27.16473936,35.53742183,0.10110882,390.7752261,166.4374374,17.118542,17.631466,16.452492,1.1789742,19.582,17.846,17.064,16.77,16.619
Gaia DR2 349112018609118336,349112018609118336,27.78047292,42.6270787,17.84378797,0.447950064,390.5705752,-84.4401168,18.678736,19.198645,18.00284,1.1958046,0,0,0,0,0
Gaia DR2 3338064456654920960,3338064456654920960,82.78731685,9.7324927,19.14710956,0.323685243,390.1076202,-118.2556981,18.999744,19.580877,18.21487,1.3660069,0,0,0,0,0
Gaia DR2 2281894928704322944,2281894928704322944,359.4319604,78.66978007,19.53440615,0.087410208,389.9452282,107.1890845,17.696573,17.865412,17.438276,0.42713547,0,0,0,0,0
Gaia DR2 2895487456076198656,2895487456076198656,98.6581293,-28.5738399,34.60009804,0.128987877,388.6592469,-319.2422657,17.914793,18.69107,17.067192,1.6238785,0,0,0,0,0
Gaia DR2 1706631093589103872,1706631093589103872,263.4023334,79.82105314,37.23922401,0.080878849,388.0671237,-55.38767903,16.928448,17.244825,16.422842,0.82198334,0,0,0,0,0
Gaia DR2 363710101347919104,363710101347919104,13.19754035,34.84758893,23.5877245,0.238499479,386.3931478,-162.3680934,18.61441,19.282202,17.811699,1.4705029,21.665,19.612,18.557,18.134,17.974
Gaia DR2 3882611201058534400,3882611201058534400,157.2827855,11.45403472,29.65291029,0.072549426,383.2620742,-306.7592618,16.521387,16.705599,16.159014,0.5465851,17.34,16.69,16.49,16.447,16.498
Gaia DR2 574070280881467264,574070280881467264,13.98764639,85.75356244,15.15642377,0.29069515,382.8932343,197.639747,19.655973,20.292671,18.87473,1.417942,0,0,0,0,0
Gaia DR2 574070177802252288,574070177802252288,13.9818759,85.75091731,15.40799465,0.260760941,382.1429852,199.1417799,19.569645,20.247345,18.750664,1.4966812,0,0,0,0,0
Gaia DR2 4348098485293072128,4348098485293072128,239.1996136,-8.101219516,30.81389008,0.241396138,379.3220928,-203.2260274,18.369894,18.630074,18.07451,0.555563,0,0,0,0,0
Gaia DR2 2531326283993100416,2531326283993100416,16.06859519,-3.84070861,27.935037,0.154752713,378.6853787,-74.80530169,17.798056,18.177444,17.200485,0.9769592,19.772,18.354,17.763,17.543,17.434
Gaia DR2 5180517706222368768,5180517706222368768,44.17505038,-7.010280422,16.32099756,0.222352801,374.2880115,-205.3693913,18.192322,18.697792,17.461346,1.2364464,20.794,19.015,18.144,17.793,17.672
Gaia DR2 560554087519757696,560554087519757696,21.32537181,77.4006419,13.87948713,0.333321879,374.204425,-33.35555542,19.39794,19.914888,18.628029,1.2868595,0,0,0,0,0
Gaia DR2 1746315255670491904,1746315255670491904,319.7459107,11.33813624,17.93866164,0.16393616,370.4456581,-25.55870899,18.110237,18.35627,17.591793,0.7644768,19.334,18.44,18.082,17.943,17.882
Gaia DR2 250862824946594816,250862824946594816,60.25884889,51.52156648,39.87771848,0.094669673,367.5784823,-803.1685867,17.127024,17.589336,16.506853,1.0824833,19.34,17.78,17.08,16.83,16.72
Gaia DR2 6791196382856581376,6791196382856581376,320.3404867,-25.95501107,40.6765481,0.065742563,366.0142072,-110.1238376,12.939884,12.821268,13.101976,-0.2807083,0,0,0,0,0
Gaia DR2 2482539166362050304,2482539166362050304,20.76955813,-4.440768156,14.5811613,0.35011401,364.9206146,-98.02796346,19.00796,19.712776,18.155397,1.5573788,22.471,20.215,18.964,18.469,18.242
Gaia DR2 1767957488499891968,1767957488499891968,328.629424,13.00711864,18.89966638,0.201125408,364.1069327,-74.16298638,18.387096,18.833447,17.715693,1.117754,20.72,19.049,18.351,18.045,17.914
Gaia DR2 2490455242060751360,2490455242060751360,36.1812464,-2.714959833,13.475934,0.360404017,360.8010694,93.1750747,19.118156,19.53923,18.467024,1.0722065,21.4,19.687,19.076,18.861,18.736
Gaia DR2 2549290109262479360,2549290109262479360,11.83828083,1.386621697,13.42533098,0.458569088,359.3601603,68.73188079,19.536352,20.145658,18.72537,1.4202881,22.151,20.407,19.46,19.101,18.964
Gaia DR2 383108338321272448,383108338321272448,1.97748844,39.79194256,29.03849089,0.063566894,359.1601674,-76.62790112,16.580908,17.126951,15.88383,1.2431211,0,0,0,0,0
Gaia DR2 2490455242060072064,2490455242060072064,36.18254905,-2.715710678,13.36475496,0.345130987,358.4429544,90.14887948,19.060474,19.445227,18.48334,0.96188736,21.52,19.702,19.019,18.756,18.678
Gaia DR2 3694399755554510720,3694399755554510720,183.7364743,-2.569260298,26.19125832,0.153273959,358.2312795,-419.2843336,17.824268,18.276821,17.249,1.0278206,20.872,18.324,17.749,17.561,17.509
Gaia DR2 162653160663515008,162653160663515008,61.44815189,26.72378759,22.90444873,0.312360333,355.5484077,-413.5472267,18.678854,19.439257,17.87423,1.5650272,0,0,0,0,0
Gaia DR2 521409549427243904,521409549427243904,29.73677687,69.06971464,10.77544105,0.642460702,355.1713699,-37.42223286,20.3053,20.719618,19.578016,1.1416016,0,0,0,0,0
Gaia DR2 890661253803216896,890661253803216896,105.2170615,31.9596108,50.97177569,0.066077573,353.89939,-595.5616685,16.347767,16.86028,15.685878,1.1744013,0,0,0,0,0
Gaia DR2 3618657732410663808,3618657732410663808,208.3162636,-9.27748124,50.72735639,0.040724183,352.0936905,-358.6255392,14.568694,14.64232,14.387158,0.2551613,0,0,0,0,0
Gaia DR2 1892992267183979776,1892992267183979776,329.4998205,27.09017227,27.02171456,0.161438511,350.144843,354.4092099,17.84558,18.46881,17.138393,1.3304157,20.675,18.689,17.79,17.504,17.295
Gaia DR2 536979286914485760,536979286914485760,10.45297781,73.35515897,17.9295845,0.046824992,348.1180863,253.1190645,16.114462,16.086266,16.042082,0.04418373,0,0,0,0,0
Gaia DR2 2400975126071250944,2400975126071250944,340.4358631,-19.67828121,10.163261,0.44149869,346.5949607,37.4548965,19.463026,19.856459,18.867386,0.9890728,0,0,0,0,0
Gaia DR2 2017484922210746368,2017484922210746368,358.536811,65.37609122,17.67837183,0.2601565,346.0740115,211.1973989,18.908796,19.480968,18.21617,1.2647991,0,0,0,0,0
Gaia DR2 3294543969653440256,3294543969653440256,73.73409123,10.46364494,18.88480447,0.090462795,345.7830498,-250.6689813,16.73864,16.871157,16.434437,0.4367199,0,0,0,0,0
Gaia DR2 2017484922214792576,2017484922214792576,358.5376773,65.37672956,17.3338126,0.119295289,344.6848804,209.4450736,17.790379,18.071535,17.314436,0.75709915,0,0,0,0,0
Gaia DR2 2813020961166816512,2813020961166816512,351.3343144,14.06149456,42.33859135,0.126248637,341.2115523,114.2195358,15.821385,16.295404,15.197673,1.0977316,18.07,16.47,15.86,15.57,15.47
Gaia DR2 363756658793281024,363756658793281024,12.2446865,34.94762299,17.43378419,0.378286597,338.3673098,20.56445507,19.267454,19.577219,18.666504,0.9107151,20.941,19.75,19.203,19.015,18.982
Gaia DR2 522518883651891584,522518883651891584,16.50328034,61.33335895,23.02843633,0.180446763,337.9917437,-340.3853781,18.38954,18.991407,17.612099,1.3793087,0,0,0,0,0
Gaia DR2 190998058945380608,190998058945380608,85.26798389,39.99423532,27.50099368,0.117544878,335.9172637,-449.9935417,17.286806,17.63485,16.800499,0.8343506,0,0,0,0,0
Gaia DR2 1921344205298938112,1921344205298938112,357.101134,41.58315842,12.67509349,0.259298715,335.726926,7.142186453,18.946672,19.57613,18.203413,1.3727169,22.032,19.884,18.897,18.515,18.306
Gaia DR2 2521858084423378176,2521858084423378176,32.90121907,8.591065436,11.29604323,0.562490798,335.4527476,-142.1834319,19.28146,19.805347,18.39253,1.412817,0,0,0,0,0
Gaia DR2 5065114305800855424,5065114305800855424,44.373619,-29.75428769,15.83985086,0.206458141,334.8916647,21.0374461,18.742092,19.259607,18.05488,1.2047272,0,0,0,0,0
Gaia DR2 1789489018549184128,1789489018549184128,316.7038746,19.79043625,17.7736929,0.237398113,334.8257801,-10.97728665,18.286537,18.63484,17.769968,0.864872,0,0,0,0,0
Gaia DR2 4340322876499078400,4340322876499078400,254.6973976,-6.286371529,31.50921474,0.116598967,334.697526,-128.998384,16.989946,17.362707,16.450108,0.91259956,18.589,17.454,16.949,16.779,16.705
Gaia DR2 2876148729784835584,2876148729784835584,4.670345884,34.69657989,10.07143621,0.331178842,334.4805365,-2.113227019,19.46932,19.76534,18.956244,0.8090973,20.815,19.885,19.42,19.241,19.304
Gaia DR2 2876148734080688256,2876148734080688256,4.668141739,34.69841478,10.43522955,0.151292563,333.113176,-3.540462294,18.104176,18.24812,17.80049,0.44762993,18.736,18.284,18.111,18.094,18.152
Gaia DR2 1944042802521121024,1944042802521121024,359.308085,50.95503084,15.32541514,0.203860782,332.9103838,70.3670066,18.543104,18.84642,18.044544,0.80187607,20.242,19.061,18.469,20.008,19.272
Gaia DR2 2012017355828594944,2012017355828594944,352.1452,59.56734656,21.69826778,0.091694773,331.9873581,129.4974767,17.760775,18.069597,17.267782,0.80181503,0,0,0,0,0
Gaia DR2 2511623211717232640,2511623211717232640,28.55929172,2.023328662,20.8748193,0.065273468,331.2237998,-10.09076927,15.004199,14.979712,15.028291,-0.048579216,15.302,14.89,15.089,15.305,15.555
Gaia DR2 2719852224183359360,2719852224183359360,343.5373712,13.39840377,21.78045379,0.225915807,326.0578226,-200.0728387,18.56323,19.206213,17.79648,1.4097328,21.78,19.531,18.498,18.13,17.999
Gaia DR2 2552121179905893888,2552121179905893888,15.95941936,5.076155266,44.86393382,0.119219578,325.1806435,231.698236,13.952519,14.066304,13.716994,0.34930992,14.496,14.047,13.993,14.557,14.099
Gaia DR2 1903614958258305536,1903614958258305536,342.4452813,36.38912417,22.95071433,0.139829832,325.1132757,-158.8069016,18.053366,18.548626,17.41441,1.1342163,0,0,0,0,0
Gaia DR2 2861037080628898816,2861037080628898816,1.304773482,29.5981895,10.47191206,0.584783907,320.4103277,36.86885477,19.940746,20.46684,19.266754,1.2000866,22.328,20.631,19.847,19.555,19.406
Gaia DR2 2423337955632676096,2423337955632676096,4.976815074,-12.96691613,18.614821,0.307117934,319.9309366,110.2683171,18.926708,19.51381,18.204609,1.3092003,21.845,19.728,18.856,18.542,18.377
Gaia DR2 1739921801713625600,1739921801713625600,318.371913,7.451669253,34.09195924,0.064913763,318.1570108,117.6513496,16.055876,16.300734,15.638219,0.6625147,17.03,16.346,16.055,15.947,15.944
Gaia DR2 5111719820563572096,5111719820563572096,53.53256634,-15.91539462,17.11328022,0.256525485,316.9035222,38.54399117,18.549124,18.952776,17.970562,0.982214,0,0,0,0,0
Gaia DR2 2595061468364389888,2595061468364389888,339.0667822,-16.79861793,18.13663662,0.32129223,316.8474085,-66.25678279,18.300184,18.776257,17.730108,1.0461483,0,0,0,0,0
Gaia DR2 418491412783587200,418491412783587200,10.34426587,55.83535147,43.65772227,0.037924181,316.3868633,-69.99924236,14.017812,13.987894,13.946854,0.04104042,0,0,0,0,0
Gaia DR2 126342377182577408,126342377182577408,39.83354507,26.16521488,47.95187243,0.063299434,316.3280962,-173.1893866,15.96513,16.33503,15.435308,0.89972115,17.548,16.417,15.923,15.73,15.685
Gaia DR2 43129206888307584,43129206888307584,55.89593328,15.82874639,10.18362161,0.821849114,315.3255832,-111.6584693,19.960005,20.390806,19.177357,1.2134495,23.032,20.734,19.906,19.521,19.356
Gaia DR2 19693180966870656,19693180966870656,37.81311786,8.171948604,25.68730924,0.109712556,312.4271019,-302.8180137,17.183855,17.490894,16.69881,0.79208374,0,0,0,0,0
Gaia DR2 303637562009656704,303637562009656704,26.2983601,31.54480162,27.85052707,0.09209519,312.2102797,-147.0074682,14.762349,14.8298855,14.59293,0.23695564,15.27,14.81,14.81,14.91,15.035
Gaia DR2 2815276162594025216,2815276162594025216,345.6076916,14.07886632,15.88498044,0.195289359,311.6478298,38.70053514,18.047903,18.340933,17.592142,0.74879074,19.178,18.385,18.033,17.884,17.821
